266 698 242 801 183.804 BF9948941E70FC8D776F8ACCEEF67CF4 ../../../replace-select/Nobel, ReplaceSelect TC, 4 (1).jpg
0 0 0 0 -0.1 2C3D94B6EC7D096572D186AF246A25B6 ../../../replace-select/Nobel, ReplaceSelect TC, 4 (10).jpg
304 812 249 801 183.691 2C3D94B6EC7D096572D186AF246A25B6 ../../../replace-select/Nobel, ReplaceSelect TC, 4 (10).jpg
298 684 234 788 177.884 9D54867CA0CFA8A6FD297E33D605F6BF ../../../replace-select/Nobel, ReplaceSelect TC, 4 (100).jpg
298 740 238 792 179.812 299360C8CD4090E0FFC2B9EA9BC73A66 ../../../replace-select/Nobel, ReplaceSelect TC, 4 (101).jpg
292 783 244 787 183.775 8F5EB43717CE21EEA9632359356AC69B ../../../replace-select/Nobel, ReplaceSelect TC, 4 (102).jpg
288 724 244 792 182.236 AAF7E55135BDBD7388E7B7C637E7D4EC ../../../replace-select/Nobel, ReplaceSelect TC, 4 (103).jpg
332 851 247 806 185.15 37FDBE82BC1A239A4B2424443BF17C4C ../../../replace-select/Nobel, ReplaceSelect TC, 4 (11).jpg
323 778 250 795 184.532 5328B854DF57CCA5D78200EF28BCA8D9 ../../../replace-select/Nobel, ReplaceSelect TC, 4 (12).jpg
275 904 242 794 191.114 02F895395FE32734E9A6A8BCECE9935D ../../../replace-select/Nobel, ReplaceSelect TC, 4 (13).jpg
274 785 254 780 184.97 2B42B9F77CFA634925DEECF62D41B175 ../../../replace-select/Nobel, ReplaceSelect TC, 4 (14).jpg
241 754 241 805 185.882 4291A58AF3802ADD4C58BF9B57AADB65 ../../../replace-select/Nobel, ReplaceSelect TC, 4 (15).jpg
317 742 254 795 181.508 17EBF026BB7C7B579248CB6C309CB422 ../../../replace-select/Nobel, ReplaceSelect TC, 4 (16).jpg
251 805 254 809 185.94 1FAC60AC2E2768AD81942CE4CBEBCDB2 ../../../replace-select/Nobel, ReplaceSelect TC, 4 (17).jpg
279 842 246 809 189.162 0C3C2FD866F8AE8A03EBAB114DA3569E ../../../replace-select/Nobel, ReplaceSelect TC, 4 (18).jpg
